passenger_id,flight_id
324156987,1001
324156988,1002
324156989,1001
324156990,1002
324156991,1001
324156992,1002
324156993,1001
324156994,1002
324156995,1001
324156996,1002
324156997,1001
324156998,1002
324156999,1001
324157000,1002
324157001,1001
324157002,1002
324157003,1001
324157004,1002
324157005,1001
324157006,1002
324157007,1001
324157008,1002
324157009,1001
324157010,1002
324157011,1001
324157012,1002
324157013,1001
324157014,1002
324157015,1001
324157016,1002
324157017,1001
324157018,1002
324157019,1001
324157020,1002
324157021,1001
324157022,1002
324157023,1001
324157024,1002
324157025,1001
324157026,1002
324157027,1001
324157028,1002
324157029,1001
324157030,1002
324157031,1001
324157032,1002
324157033,1001
324157034,1002
324157035,1001
324157036,1002
324157037,1001
324157038,1002
324157039,1001
415435369,3696
324157040,1002
324157041,1001
324157042,1002
324157043,1001
324157044,1002
324157045,1001
324157046,1002
324157047,1001
324157048,1002
324157049,1001
324157050,1002
324157051,1001
324157052,1002
324157053,1001
324157054,1002
324157055,1001
324157056,1002
324157057,1001
324157058,1002
324157059,1001
324157060,1002
324157061,1001
324157062,1002
324157063,1001
341402356,2004
